id,question,choices,answer_index,answer_text,lecture,explanation,category,grade,image_filename
7187,"Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Tanner remarked. ""The curb must have ()"".",A. jumped out in front of me | B. been higher than I thought,0,jumped out in front of me,"Personification is giving human characteristics to nonhuman things. It is a figure of speech that can be used to make writing more interesting or to emphasize a point.
The trees danced in the wind.
The word danced describes the trees as if they were people. Unlike people, however, trees can't actually dance. Instead, the personification suggests that the trees are moving.",,Creative techniques,grade10,
7188,Select the liquid.,A. garbage can | B. water in a bathtub | C. gold bracelet,1,water in a bathtub,"Solid and liquid are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a shape of its own.
Some solids can be bent or broken easily. Others are hard to bend or break.
A glass cup is a solid. A sock is also a solid.
When matter is a liquid, it takes the shape of its container.
Think about pouring a liquid from a cup into a bottle. The shape of the liquid is different in the cup than in the bottle. But the liquid still takes up the same amount of space.
Juice is a liquid. Honey is also a liquid.",,States of matter,grade2,
7189,"Would you find the word sit on a dictionary page with the following guide words?
shimmer - splinter",A. no | B. yes,1,yes,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade5,
7190,Which of these cities is marked on the map?,A. Denver | B. Portland | C. Los Angeles | D. San Francisco,2,Los Angeles,,,Cities,grade5,7190.jpg
7191,Select the action that doesn't belong.,A. chop | B. carve | C. slice | D. measure,3,measure,,,Categories,grade3,
7192,"Based on this information, what is Remy's phenotype for the body size trait?",A. a dwarf body | B. bb,0,a dwarf body,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.",,Genes to traits,grade7,
7193,"Which logical fallacy is used in the text?
This overview of world history is the number one seller on the topic. It must be the most accurate and comprehensive book on the subject.","A. bandwagon fallacy: the assumption that the popular choice is automatically correct | B. false dichotomy: an argument that presents only two choices when more options exist | C. false causation: the assumption that because two things happened together, one caused the other",0,bandwagon fallacy: the assumption that the popular choice is automatically correct,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade11,
7194,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,A. sample B | B. neither; the samples have the same temperature | C. sample A,2,sample A,"The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.",,Particle motion and energy,grade8,7194.jpg
7195,How long is a basketball court?,A. 26 centimeters | B. 26 meters | C. 26 kilometers | D. 26 millimeters,1,26 meters,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.",,Units and measurement,grade7,
7196,What is the name of the colony shown?,A. South Carolina | B. West Virginia | C. Virginia | D. Pennsylvania,2,Virginia,,,Colonial America,grade7,7196.jpg
7197,"Is the following trait inherited or acquired?
Elena has five toes on each foot.",A. acquired | B. inherited,1,inherited,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.",,Traits and heredity,grade5,
7198,Which of the following could Ellie's test show?,A. if the blade guards would break in a crash | B. if adding the blade guards made the drone fly poorly | C. how much the drone weighed with the blade guards,1,if adding the blade guards made the drone fly poorly,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds.",,Engineering practices,grade8,7198.jpg
7199,Which country is highlighted?,A. Nauru | B. Tonga | C. Fiji | D. Vanuatu,3,Vanuatu,,,Oceania: geography,grade8,7199.jpg
7200,Which property do these two objects have in common?,A. slippery | B. salty,1,salty,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells.
Different objects can have the same properties. You can use these properties to put objects into groups.",,Materials,grade2,7200.jpg
7201,Which of these states is farthest east?,A. Indiana | B. Texas | C. Kansas | D. Georgia,3,Georgia,"Maps have four cardinal directions, or main directions. Those directions are north, south, east, and west.
A compass rose is a set of arrows that point to the cardinal directions. A compass rose usually shows only the first letter of each cardinal direction.
The north arrow points to the North Pole. On most maps, north is at the top of the map.",,Maps,grade4,7201.jpg
7202,"What kind of sentence is this?
Why are Chase and Haley arguing?",A. interrogative | B. exclamatory,0,interrogative,"There are four kinds of sentences.
A declarative sentence is a statement. It tells about something. A declarative sentence always ends with a period.
I have an older brother and a younger sister.
An interrogative sentence is a question. It asks something. An interrogative sentence always ends with a question mark.
How tall are you?
An imperative sentence is a command. It makes a request or tells someone to do something. An imperative sentence usually ends with a period. If the command shows strong feeling, it ends with an exclamation point.
Read the first chapter by next week.
Look out for that car!
An exclamatory sentence is like a statement, but it shows surprise or strong feeling. An exclamatory sentence always ends with an exclamation point.
Some whales are over ninety feet long!
I can't wait until tomorrow!",,"Sentences, fragments, and run-ons",grade4,
7203,"Is the following statement about our solar system true or false?
The volume of Mars is more than three times as large as Mercury's.",A. true | B. false,1,false,"A planet's volume tells you the size of the planet.
The primary composition of a planet is what the planet is made mainly of. In our solar system, planets are made mainly of rock, gas, or ice.",,Astronomy,grade6,7203.jpg
7204,Which property matches this object?,A. breakable | B. bumpy,0,breakable,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells.",,Materials,grade2,7204.jpg
7205,Which is the scratchiest?,A. sandpaper | B. rubber balloons | C. ceramic tea cup,0,sandpaper,"Every object is made of one or more materials. A material is a type of matter. Wood, glass, metal, and plastic are common materials.
A material has different properties. A material's properties tell you how it looks, feels, tastes, or smells. Some examples of properties are shiny, hard, fragile, and stretchy.
For example, a shiny material reflects a lot of light. A fragile material breaks when you drop it.",,Materials,grade4,
7206,Which property do these three objects have in common?,A. blue | B. sticky | C. transparent,0,blue,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups.",,Materials,grade3,7206.jpg
7207,Compare the motion of three speedboats. Which speedboat was moving at the lowest speed?,A. a speedboat that moved 310kilometers west in 5hours | B. a speedboat that moved 380kilometers east in 5hours | C. a speedboat that moved 415kilometers west in 5hours,0,a speedboat that moved 310kilometers west in 5hours,"An object's speed tells you how fast the object is moving. Speed depends on both distance and time.
Distance tells you how far the object has moved. One unit used to measure distance is the kilometer.
Time tells you how long the object has spent moving. One unit used to measure time is the hour.
Think about objects moving for the same amount of time. The object that is moving the slowest will go the shortest distance in that time. It is moving at the lowest speed.",,Force and motion,grade3,
7208,Is soap a mineral?,A. no | B. yes,0,no,"Properties are used to identify different substances. Minerals have the following properties:
It is a solid.
It is formed in nature.
It is not made by organisms.
It is a pure substance.
It has a fixed crystal structure.
If a substance has all five of these properties, then it is a mineral.
Look closely at the last three properties:
A mineral is not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be minerals.
Humans are organisms too. So, substances that humans make by hand or in factories cannot be minerals.
A mineral is a pure substance.
A pure substance is made of only one type of matter. All minerals are pure substances.
A mineral has a fixed crystal structure.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms or molecules in different pieces of the same type of mineral are always arranged the same way.
",,Rocks and minerals,grade6,7208.jpg
7209,Which of the following could Samantha and Justine's test show?,A. if the concrete from each batch took the same amount of time to dry | B. if a new batch of concrete was firm enough to use,1,if a new batch of concrete was firm enough to use,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds.",,Engineering practices,grade6,7209.jpg
7210,"Is the following trait inherited or acquired?
Keith has five fingers on each hand.",A. inherited | B. acquired,0,inherited,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.",,Traits and heredity,grade5,
7211,Which continent is highlighted?,A. South America | B. Antarctica | C. Australia | D. Europe,2,Australia,A continent is one of the major land masses on the earth. Most people say there are seven continents.,,Oceans and continents,grade5,7211.jpg
7212,Which solution has a higher concentration of green particles?,A. neither; their concentrations are the same | B. Solution B | C. Solution A,2,Solution A,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent",,Solutions,grade6,7212.jpg
7213,Which of the following could Darren's test show?,A. the amount of bacteria in the water before it was filtered | B. whether an inexpensive filter would become clogged more often | C. whether the filter was clogged,2,whether the filter was clogged,"People can use the engineering-design process to develop solutions to problems. One step in the process is testing if a potential solution meets the requirements of the design. How can you determine what a test can show? You need to figure out what was tested and what was measured.
Imagine an engineer needs to design a bridge for a windy location. She wants to make sure the bridge will not move too much in high wind. So, she builds a smaller prototype, or model, of a bridge. Then, she exposes the prototype to high winds and measures how much the bridge moves.
First, identify what was tested. A test can examine one design, or it may compare multiple prototypes to each other. In the test described above, the engineer tested a prototype of a bridge in high wind.
Then, identify what the test measured. One of the criteria for the bridge was that it not move too much in high winds. The test measured how much the prototype bridge moved.
Tests can show how well one or more designs meet the criteria. The test described above can show whether the bridge would move too much in high winds.",,Engineering practices,grade8,7213.jpg
7214,Which ping pong ball has less thermal energy?,A. the hotter ping pong ball | B. the colder ping pong ball,1,the colder ping pong ball,"Matter is made of tiny particles called atoms. Atoms are always moving.
The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving.
Temperature measures how hot or cold matter is. If the atoms in matter slow down, the temperature goes down. The matter now has both less thermal energy and a lower temperature.
What happens if the amount of matter changes? A 1-kilogram brick at 70°F has half as much thermal energy as a 2-kilogram brick at 70°F. The two bricks have the same temperature, but the smaller brick has half as many atoms. So, it has half as much thermal energy.",,Thermal energy,grade6,
7215,"What is the source of the allusion in the sentence below?
Krysta was known among her coworkers for her spartan ways.",A. the Bible | B. Greek history,1,Greek history,"An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words.
The protean nature of the disease makes it difficult to diagnose.
The word protean is an allusion to the sea god Proteus in Greek mythology. Because the sea is constantly changing, to describe something as protean suggests that it is variable or in flux.",,Literary devices,grade11,
7216,What is the capital of Virginia?,A. Tulsa | B. Bridgeport | C. Atlanta | D. Richmond,3,Richmond,,,State capitals,grade4,7216.jpg
7217,What is the capital of North Carolina?,A. Tulsa | B. Birmingham | C. Charleston | D. Raleigh,3,Raleigh,,,State capitals,grade4,7217.jpg
7218,What is the capital of Wyoming?,A. Augusta | B. Cheyenne | C. Montgomery | D. Columbia,1,Cheyenne,,,State capitals,grade3,7218.jpg
7219,Which country is highlighted?,A. the Dominican Republic | B. Dominica | C. Grenada | D. Haiti,1,Dominica,,,The Americas: geography,grade8,7219.jpg
7220,"What kind of sentence is this?
Do you know Santiago from soccer camp, or do you have another connection with him?",A. imperative | B. interrogative | C. exclamatory,1,interrogative,"There are four kinds of sentences.
A declarative sentence is a statement, and it always ends with a period.
The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure.
An interrogative sentence is a question, and it always ends with a question mark.
Do you have any plans for the upcoming weekend?
An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling, it ends with an exclamation point.
For this assignment, use references to support your claims.
Don't drive so quickly in the construction zone!
An exclamatory sentence is like a statement, but it shows surprise or strong feeling. An exclamatory sentence always ends with an exclamation point.
I can't wait to travel through Europe this summer!",,"Sentences, fragments, and run-ons",grade7,
7221,Which property do these three objects have in common?,A. scratchy | B. flexible | C. fragile,2,fragile,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups.",,Materials,grade3,7221.jpg
7222,Which country is highlighted?,A. Saint Lucia | B. Jamaica | C. Antigua and Barbuda | D. Saint Kitts and Nevis,3,Saint Kitts and Nevis,,,The Americas: geography,grade6,7222.jpg
7223,What is the name of the colony shown?,A. West Virginia | B. Illinois | C. Massachusetts | D. Georgia,2,Massachusetts,,,Colonial America,grade8,7223.jpg
7224,"Which logical fallacy is used in the text?
None of my grandparents know how to connect a printer to their computers. Why are older adults so bad with technology?",A. appeal to nature: the assumption that natural things are always good | B. circular reasoning: an argument that supports a claim with the claim itself | C. hasty generalization: a broad claim based on too few observations,2,hasty generalization: a broad claim based on too few observations,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions.
A logical fallacy may present irrelevant information:
Fallacy | Description
ad hominem | an attack against the person making the argument, rather than the argument itself
appeal to nature | an argument that assumes the natural choice is always the best choice
bandwagon fallacy | an argument that assumes the popular choice is always the best choice
circular reasoning | an argument that supports a claim with the claim itself
guilt by association | an unfair negative association with another person or group that is intended to discredit someone or something
A logical fallacy may misrepresent the issues at hand:
Fallacy | Description
false causation | the assumption that because two things happened together, one caused the other
false dichotomy | an argument that presents only two choices when more options exist
hasty generalization | a broad claim based on too few observations
slippery slope fallacy | the false assumption that a small first step will necessarily lead to extreme consequences
straw man | a misrepresentation of an opponent's position that makes it easier to argue against
",,Developing and supporting arguments,grade9,
7225,Which property matches this object?,A. scratchy | B. sour,1,sour,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells.",,Materials,grade2,7225.jpg
7226,"Is the following trait inherited or acquired?
Ben plays baseball.",A. inherited | B. acquired,1,acquired,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.",,Traits and heredity,grade4,
7227,"Which word would you find on a dictionary page with the following guide words?
divide - draw",A. doe | B. decorate,0,doe,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade3,
7228,"Which word would you find on a dictionary page with the following guide words?
weary - win",A. wonder | B. whale,1,whale,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade3,
7229,Select the vertebrate.,A. squirrel | B. saturn butterfly,0,squirrel,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have a hard outer cover on their body. Other invertebrates have a soft body.",,Classification,grade3,
7230,What is the capital of Maryland?,A. Concord | B. Annapolis | C. Minneapolis | D. Baltimore,1,Annapolis,,,State capitals,grade4,7230.jpg
7231,"Using only these supplies, which question can Rosanne investigate with an experiment?",A. Does the basketball bounce higher on a lawn or on a dirt path? | B. Does the basketball bounce higher on gravel or on grass? | C. Do larger basketballs bounce higher than smaller basketballs on a brick patio?,1,Does the basketball bounce higher on gravel or on grass?,"Experiments can be designed to answer specific questions. When designing an experiment, you must identify the supplies that are necessary to answer your question. In order to do this, you need to figure out what will be tested and what will be measured during the experiment.
Imagine that you are wondering if plants grow to different heights when planted in different types of soil. How might you decide what supplies are necessary to conduct this experiment?
First, you need to identify the part of the experiment that will be tested, which is the independent variable. This is usually the part of the experiment that is different or changed. In this case, you would like to know how plants grow in different types of soil. So, you must have different types of soil available.
Next, you need to identify the part of the experiment that will be measured or observed, which is the dependent variable. In this experiment, you would like to know if some plants grow taller than others. So, you must be able to compare the plants' heights. To do this, you can observe which plants are taller by looking at them, or you can measure their exact heights with a meterstick.
So, if you have different types of soil and can observe or measure the heights of your plants, then you have the supplies you need to investigate your question with an experiment!",,Designing experiments,grade7,
7232,What information supports the conclusion that Jeremiah acquired this trait?,"A. Jeremiah learned biology by reading, observing, and experimenting. | B. Jeremiah is most interested in human biology.",0,"Jeremiah learned biology by reading, observing, and experimenting.","Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,Traits and heredity,grade4,
7233,"Would you find the word rig on a dictionary page with the following guide words?
rag - result",A. yes | B. no,1,no,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",,Reference skills,grade6,
7234,What is the text's most likely purpose?,A. to persuade | B. to entertain | C. to inform,1,to entertain,"Authors write texts for different purposes, or reasons. Common purposes for writing are to persuade, to inform, or to entertain readers.
Authors persuade by convincing readers to believe or do something.
An advertisement tries to convince readers to buy a product.
A political poster tries to convince readers to vote for someone.
Authors inform by telling readers about a topic or process.
A news article explains something that happened.
A recipe describes how to cook a dish.
Authors entertain by giving readers something to enjoy.
A joke tries to make readers laugh.
A poem tries to please readers.",,Author's purpose,grade4,
7235,What is the mass of a dinner fork?,A. 70 grams | B. 70 kilograms,0,70 grams,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.",,Units and measurement,grade4,
7236,What is the capital of Montana?,A. Helena | B. Orlando | C. Bismarck | D. Billings,0,Helena,,,State capitals,grade3,7236.jpg
7237,Will these magnets attract or repel each other?,A. repel | B. attract,1,attract,"Magnets can pull or push on other magnets without touching them. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes are called magnetic forces.
Magnetic forces are strongest at the magnets' poles, or ends. Every magnet has two poles: a north pole (N) and a south pole (S).
Here are some examples of magnets. Their poles are shown in different colors and labeled.
Whether a magnet attracts or repels other magnets depends on the positions of its poles.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.",,Magnets,grade5,7237.jpg
7238,Which of the following contains a vague pronoun reference?,"A. Molly looks almost identical to her twin sister Julia, but she has pierced ears. | B. Molly has pierced ears, but otherwise she looks almost identical to her twin sister Julia.",0,"Molly looks almost identical to her twin sister Julia, but she has pierced ears.","When writing, make sure to avoid vague pronoun references. A vague pronoun reference occurs when a pronoun could refer to more than one possible antecedent.
When Lisa and Kim finally landed, she breathed a sigh of relief.
The pronoun she could refer to either Lisa or Kim, so the meaning of the sentence is unclear.
Vague pronoun references can be corrected in one of two ways:
1. Replace the pronoun with its correct antecedent:
When Lisa and Kim finally landed, Lisa breathed a sigh of relief.
2. Rewrite the sentence:
Lisa breathed a sigh of relief when she and Kim finally landed.
A vague pronoun reference also occurs when they, them, their, theirs, it, or its is used without its antecedent.
They say that this nail polish dries in less than five minutes.
The pronoun they is used without its antecedent, so the meaning of the sentence is unclear.
This problem can be fixed by replacing the pronoun with its missing antecedent.
The advertisements say that this nail polish dries in less than five minutes.",,Pronouns,grade10,
7239,What is the capital of Oregon?,A. Burlington | B. Salem | C. Denver | D. Jackson,1,Salem,,,State capitals,grade5,7239.jpg
7240,Which country is highlighted?,A. Barbados | B. the Dominican Republic | C. Saint Lucia | D. Saint Vincent and the Grenadines,0,Barbados,,,The Americas: geography,grade7,7240.jpg
7241,Which body part pulls on bones to move the body?,A. muscles | B. heart | C. stomach,0,muscles,,,Animals,grade2,
7242,What is the temperature of a cool glass of milk?,A. 55°C | B. 55°F,1,55°F,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Temperature can be written with units of degrees Fahrenheit (°F) or Celsius (°C). Use the list below to compare the two units.
212°F | Water boils | 100°C
98.6°F | Body temperature | 37°C
68°F | Room temperature | 20°C
32°F | Water freezes | 0°C
",,Units and measurement,grade6,
7243,Which property do these four objects have in common?,A. rough | B. shiny | C. slippery,1,shiny,"An object has different properties. A property of an object can tell you how it looks, feels, tastes, or smells. Properties can also tell you how an object will behave when something happens to it.
Different objects can have properties in common. You can use these properties to put objects into groups. Grouping objects by their properties is called classification.",,Materials,grade5,7243.jpg
7244,Which i in column 2?,A. the restaurant | B. the park | C. the library | D. the grocery store,2,the library,"A grid is made up of lines of squares. They are organized in rows and columns. A grid can help you use a map.
A row is a line of squares that goes from side to side. Rows are marked with letters.
A column is a line of squares that goes up and down. Columns are marked with numbers.",,Geography,grade3,7244.jpg
7245,Select the one substance that is not a mineral.,A. Halite is not made by living things. It is a solid. | B. A computer processor is made in a factory. It is not a pure substance. | C. Potassium feldspar is a solid. It is a pure substance.,1,A computer processor is made in a factory. It is not a pure substance.,"Minerals are the building blocks of rocks. A rock can be made of one or more minerals.
Minerals and rocks have the following properties:
Property | Mineral | Rock
It is a solid. | Yes | Yes
It is formed in nature. | Yes | Yes
It is not made by organisms. | Yes | Yes
It is a pure substance. | Yes | No
It has a fixed crystal structure. | Yes | No
You can use these properties to tell whether a substance is a mineral, a rock, or neither.
Look closely at the last three properties:
Minerals and rocks are not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be  minerals or rocks.
Humans are organisms too. So, substances that humans make by hand or in factories are not minerals or rocks.
A mineral is a pure substance, but a rock is not.
A pure substance is made of only one type of matter.  Minerals are pure substances, but rocks are not. Instead, all rocks are mixtures.
A mineral has a fixed crystal structure, but a rock does not.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms and molecules in different pieces of the same type of mineral are always arranged the same way.
However, rocks do not have a fixed crystal structure. So, the arrangement of atoms or molecules in different pieces of the same type of rock may be different!",,Rocks and minerals,grade4,
7246,Which of the following contains a vague pronoun reference?,"A. Mrs. Hunt was overjoyed when she saw her granddaughter for the first time in two years. | B. When Mrs. Hunt saw her granddaughter for the first time in two years, she was overjoyed.",1,"When Mrs. Hunt saw her granddaughter for the first time in two years, she was overjoyed.","When writing, make sure to avoid vague pronoun references. A vague pronoun reference occurs when a pronoun could refer to more than one possible antecedent.
When Lisa and Kim finally landed, she breathed a sigh of relief.
The pronoun she could refer to either Lisa or Kim, so the meaning of the sentence is unclear.
Vague pronoun references can be corrected in one of two ways:
1. Replace the pronoun with its correct antecedent:
When Lisa and Kim finally landed, Lisa breathed a sigh of relief.
2. Rewrite the sentence:
Lisa breathed a sigh of relief when she and Kim finally landed.
A vague pronoun reference also occurs when they, them, their, theirs, it, or its is used without its antecedent.
They say that this nail polish dries in less than five minutes.
The pronoun they is used without its antecedent, so the meaning of the sentence is unclear.
This problem can be fixed by replacing the pronoun with its missing antecedent.
The advertisements say that this nail polish dries in less than five minutes.",,Pronouns,grade10,
